loop,ax,ay,ayaw,bx,by,byaw,drift_pos,drift_yaw
0,-0.044825116154121325,0.019187507898712708,-0.05256318079056089,-0.04486304524660234,0.019231513701880143,-0.05272365870077356,5.8095841235362307e-05,0.00016047791021266827
1,-0.08722532820117301,0.04174686632983593,-0.12515422443679713,-0.08725245885531407,0.04172487971213079,-0.12555940152105863,3.492110754592107e-05,0.0004051770842614932
2,-0.1325805041118926,0.06808803529989427,-0.2001572802144731,-0.13267295941223,0.06806795313639369,-0.20108584100025473,9.461118248571466e-05,0.0009285607857816291
3,-0.1699748593203525,0.09352328117995201,-0.2681745192440153,-0.17011421097049872,0.09355432073594261,-0.26864653722916665,0.00014276672033274826,0.00047201798515134064
4,-0.20739223895399128,0.12424314386897528,-0.3393785564979599,-0.20756860241901265,0.12429919970262682,-0.3400878905825011,0.0001850576350240967,0.0007093340845412133
