loop,ax,ay,ayaw,bx,by,byaw,gx,gy,gyaw,cov_pos,cov_yaw,quality_ok,err_a_pos,err_a_yaw,err_b_pos,err_b_yaw
0,0.4901840241824448,-0.5242868466844196,-0.4512352537579266,0.4902057074125335,-0.5240762186055397,-0.4527550149698616,-3.1741001859454445,-1.0427186898396061,1.5136943537670093,5.265964745295647e-07,0.0,1,0.02375661401254047,-0.05493628725110855,0.023817024040046424,-0.05471135086864187
1,0.5903754134723949,-0.4956580509412345,-0.5942096967703137,0.5904077281124263,-0.49542099905097675,-0.5956038876132385,-3.2322228170275347,-0.9969951547679391,1.4273176562133099,2.7162785727742887e-07,0.0,1,0.05822473512537979,-0.111534032709796,0.05815489495464923,-0.11118352595831915
2,0.685802446847733,-0.477898812100226,-0.725567900341347,0.6858417409795169,-0.477659093553129,-0.7261012404666385,-3.281387136751163,-0.951064281042742,1.3510324417344028,1.7317642772531671e-06,0.0,1,0.09476504383741657,-0.16660702180192244,0.09459342668137834,-0.16539566433281225
3,0.7835471679663746,-0.4732533025501099,-0.8652092565664872,0.7835920692967558,-0.4729816121854679,-0.8660353154841481,-3.317614771691343,-0.9100321190069338,1.2675560803754902,1.5417062847187192e-06,0.0,1,0.1437429680928998,-0.2227720166681499,0.14349375379483925,-0.22185337799140914
4,0.8851849184973647,-0.48184415546723863,-1.0214520306664636,0.8852656466081648,-0.4815512400975364,-1.0225919491602733,-3.368764695300528,-0.8500658487472108,1.1511547048237354,1.0041398774057167e-06,0.0,1,0.1810987921453557,-0.2626134152163715,0.18070728439057734,-0.26200863611577974
