loop,ax,ay,ayaw,bx,by,byaw,drift_pos,drift_yaw
0,0.05409441648605074,0.06459651933008016,-0.13534068496930438,0.05411918832916985,0.06458820358838188,-0.1355740971434334,2.613036110562348e-05,0.00023341217412903295
1,0.11307744109629367,0.11694515616988596,-0.2644621754771128,0.11314466824517996,0.11696863696447493,-0.26408124161851054,7.120981155648091e-05,-0.0003809338586022726
2,0.17698026087625507,0.16006246210307673,-0.3853581370449277,0.17705173779749742,0.1600943063860965,-0.3853655306422983,7.82496557904786e-05,7.39359737056411e-06
3,0.24865293041687192,0.18810369641377767,-0.5107167106213958,0.24873643883443416,0.18812133449707102,-0.5109903220632397,8.535079253301446e-05,0.0002736114418439018
4,0.34195681633249503,0.20943694277194003,-0.6476599217284269,0.34204611565653675,0.20949652715399475,-0.6465862500564445,0.00010735300582262315,-0.001073671671982357
